City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bozoum,CF,68.45,overcast clouds,6.3193,16.3799,
5,Kapaa,US,82.11,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Vaini,TO,76.08,overcast clouds,-21.2,-175.2,Keleti Beach Resort
7,La Ronge,CA,66.76,broken clouds,55.1001,-105.2842,Northland Motor Hotel
10,Torquay,GB,65.93,clear sky,50.4638,-3.5143,The Grand Hotel
11,Omboue,GA,73.08,clear sky,-1.5746,9.2618,Hotel Olako
13,Hilo,US,83.12,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Sao Joao Da Barra,BR,67.86,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
18,Chapais,CA,72.05,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
19,Wajir,KE,78.51,overcast clouds,1.7471,40.0573,Mahatallah Hotel
23,The Valley,AI,85.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
24,Kirakira,SB,81.09,few clouds,-10.4544,161.9205,SanBiz Lodge
26,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Vila,PT,72.48,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
31,Roma,US,80.82,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
32,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,hotel la terminal
34,Rikitea,PF,72.1,light rain,-23.1203,-134.9692,People ThankYou
35,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
36,Bengkulu,ID,75.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
41,Carnarvon,AU,68.9,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Aragarcas,BR,85.14,clear sky,-15.8975,-52.2508,Pousada Tropical
43,Dabakala,CI,73.6,light rain,8.3667,-4.4333,Hotel Residence les villages de Dabakala
44,Katsuura,JP,80.67,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
45,Yanam,IN,79.68,overcast clouds,16.7333,82.2167,The Regency Hotel
46,Mkokotoni,TZ,74.28,broken clouds,-5.8767,39.2547,
48,Batamshinskiy,KZ,69.51,overcast clouds,50.5594,58.2747,
50,Pitsunda,GE,77.18,few clouds,43.1592,40.3378,Hotel FREEDOM
51,Amahai,ID,75.92,broken clouds,-3.3333,128.9167,HOTEL ISABELA
53,Buala,SB,81.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
54,Faanui,PF,78.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Deer Lake,CA,72.41,few clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
56,Marsa Matruh,EG,78.67,scattered clouds,31.3525,27.2453,Beau Site
57,Buloh Kasap,MY,75.18,broken clouds,2.5536,102.764,Teratak Ixora Segamat
59,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
60,Yellowknife,CA,64.56,clear sky,62.456,-114.3525,The Explorer Hotel
63,Panzhihua,CN,68.36,overcast clouds,26.5851,101.7128,Electric Power Hotel
64,Nieuw Amsterdam,SR,82.02,light rain,5.8833,-55.0833,Hotel Stardust
65,Bathsheba,BB,84.06,overcast clouds,13.2167,-59.5167,Atlantis Hotel
69,Karratha,AU,68.47,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
71,Makokou,GA,70.65,overcast clouds,0.5738,12.8642,Hôtel
73,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
75,Torbay,CA,76.75,scattered clouds,47.6666,-52.7314,Gallows Cove
76,Poso,ID,74.91,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
77,Margate,GB,69.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
78,Sabang,ID,82.09,light rain,5.8933,95.3214,Hotel Citra
81,Alofi,NU,77.45,clear sky,-19.0595,-169.9187,Taloa Heights
83,Atuona,PF,76.8,clear sky,-9.8,-139.0333,Villa Enata
84,Calatayud,ES,78.3,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
86,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
88,Ankpa,NG,71.44,light rain,7.3706,7.6253,AA Suites
90,Albany,US,83.03,overcast clouds,42.6001,-73.9662,
91,Fortuna,US,74.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
92,Vanimo,PG,76.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Moose Jaw,CA,81.7,few clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
96,Situbondo,ID,72.01,broken clouds,-7.7062,114.0098,Kost Putri KAMELIA
97,Isangel,VU,74.64,overcast clouds,-19.55,169.2667,Tanna Lodge
99,Sinnamary,GF,81.1,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
103,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
106,Ferrol,ES,72.12,clear sky,43.4832,-8.2369,Hotel Spa Sercotel Odeón
108,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Semnan,IR,83.55,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
111,Salinopolis,BR,80.19,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
118,Guerrero Negro,MX,86.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
119,Jamestown,US,81.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
120,Nioro,GM,73.31,heavy intensity rain,13.35,-15.75,
123,Jacareacanga,BR,87.96,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
124,Salaga,GH,74.91,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
125,Matara,LK,77.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
126,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
127,Beloha,MG,65.07,clear sky,-25.1667,45.05,
129,Torbat-E Jam,IR,77.58,clear sky,35.244,60.6225,White building
