City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lugovskoy,RU,56.9585,64.529,59.94,99,20,6.22,few clouds
1,Khatanga,RU,71.9667,102.5,43.99,78,100,6.42,overcast clouds
2,Bozoum,CF,6.3193,16.3799,68.45,95,100,4.36,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,42.12,81,100,12.12,overcast clouds
4,New Norfolk,AU,-42.7826,147.0587,49.91,78,99,1.99,light rain
5,Kapaa,US,22.0752,-159.319,82.11,68,97,8.01,overcast clouds
6,Vaini,TO,-21.2,-175.2,76.08,87,100,14.2,overcast clouds
7,La Ronge,CA,55.1001,-105.2842,66.76,55,56,9.57,broken clouds
8,Talnakh,RU,69.4865,88.3972,43.99,74,29,16.24,scattered clouds
9,Povenets,RU,62.8487,34.8262,52.83,93,87,5.03,overcast clouds
10,Torquay,GB,50.4638,-3.5143,65.93,82,0,4.0,clear sky
11,Omboue,GA,-1.5746,9.2618,73.08,90,10,10.09,clear sky
12,Busselton,AU,-33.65,115.3333,57.83,77,81,27.49,broken clouds
13,Hilo,US,19.7297,-155.09,83.12,73,19,5.01,few clouds
14,Narsaq,GL,60.9167,-46.05,59.22,71,95,4.12,overcast clouds
15,Bluff,NZ,-46.6,168.3333,36.81,79,26,13.29,scattered clouds
16,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.86,70,4,8.55,clear sky
17,Nikolskoye,RU,59.7035,30.7861,57.09,76,100,3.02,overcast clouds
18,Chapais,CA,49.7834,-74.8492,72.05,58,98,7.0,overcast clouds
19,Wajir,KE,1.7471,40.0573,78.51,59,100,19.46,overcast clouds
20,Cherskiy,RU,68.75,161.3,63.57,48,16,20.85,few clouds
21,Dikson,RU,73.5069,80.5464,41.07,85,100,14.23,overcast clouds
22,Provideniya,RU,64.3833,-173.3,50.36,71,0,11.18,clear sky
23,The Valley,AI,18.217,-63.0578,85.82,78,97,16.33,overcast clouds
24,Kirakira,SB,-10.4544,161.9205,81.09,82,24,11.54,few clouds
25,Serov,RU,59.6033,60.5787,59.29,97,100,4.54,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,72.55,87,94,5.01,overcast clouds
27,Vila,PT,42.0304,-8.1588,72.48,43,0,4.25,clear sky
28,Kosh-Agach,RU,50.0,88.6667,50.05,80,73,1.23,broken clouds
29,Ushuaia,AR,-54.8,-68.3,37.51,98,100,4.12,overcast clouds
30,Eyrarbakki,IS,63.863,-21.1481,53.2,74,77,15.73,broken clouds
31,Roma,US,43.2128,-75.4557,80.82,58,20,3.44,few clouds
32,Ixtapa,MX,20.7,-105.2,86.23,75,100,5.01,overcast clouds
33,San Patricio,US,28.017,-97.5169,99.32,40,19,17.74,few clouds
34,Rikitea,PF,-23.1203,-134.9692,72.1,75,100,20.2,light rain
35,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,78,20,16.11,few clouds
36,Bengkulu,ID,-3.8004,102.2655,75.18,89,88,4.47,overcast clouds
37,Ostrovnoy,RU,68.0531,39.5131,55.44,81,79,6.33,broken clouds
38,Sitka,US,57.0531,-135.33,57.25,95,100,4.07,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,36.48,96,6,3.4,clear sky
40,Butaritari,KI,3.0707,172.7902,81.37,77,31,14.27,scattered clouds
41,Carnarvon,AU,-24.8667,113.6333,68.9,48,100,9.04,overcast clouds
42,Aragarcas,BR,-15.8975,-52.2508,85.14,19,0,5.73,clear sky
43,Dabakala,CI,8.3667,-4.4333,73.6,88,100,4.36,light rain
44,Katsuura,JP,35.1333,140.3,80.67,84,95,6.67,overcast clouds
45,Yanam,IN,16.7333,82.2167,79.68,91,100,3.22,overcast clouds
46,Mkokotoni,TZ,-5.8767,39.2547,74.28,82,65,6.85,broken clouds
47,Verkhnyaya Sinyachikha,RU,57.976,61.6673,60.4,98,94,5.75,light rain
48,Batamshinskiy,KZ,50.5594,58.2747,69.51,55,100,4.36,overcast clouds
49,Qaanaaq,GL,77.484,-69.3632,46.72,58,70,2.55,broken clouds
50,Pitsunda,GE,43.1592,40.3378,77.18,84,12,3.65,few clouds
51,Amahai,ID,-3.3333,128.9167,75.92,90,65,3.76,broken clouds
52,Port Hedland,AU,-20.3167,118.5667,62.65,67,34,6.91,scattered clouds
53,Buala,SB,-8.145,159.5921,81.9,77,13,9.62,light rain
54,Faanui,PF,-16.4833,-151.75,78.64,71,14,25.01,light rain
55,Deer Lake,CA,49.1667,-57.4316,72.41,60,18,11.01,few clouds
56,Marsa Matruh,EG,31.3525,27.2453,78.67,82,47,11.65,scattered clouds
57,Buloh Kasap,MY,2.5536,102.764,75.18,93,80,1.07,broken clouds
58,Haverfordwest,GB,51.8017,-4.9691,58.05,87,63,4.41,broken clouds
59,Avarua,CK,-21.2078,-159.775,77.05,65,27,12.66,scattered clouds
60,Yellowknife,CA,62.456,-114.3525,64.56,42,9,3.0,clear sky
61,Flinders,AU,-34.5833,150.8552,56.37,75,76,5.99,light rain
62,Chuy,UY,-33.6971,-53.4616,50.2,80,89,5.21,overcast clouds
63,Panzhihua,CN,26.5851,101.7128,68.36,91,100,1.95,overcast clouds
64,Nieuw Amsterdam,SR,5.8833,-55.0833,82.02,87,96,8.08,light rain
65,Bathsheba,BB,13.2167,-59.5167,84.06,86,100,18.32,overcast clouds
66,Yurimaguas,PE,-5.9,-76.0833,91.62,40,26,4.63,scattered clouds
67,Port Alfred,ZA,-33.5906,26.891,53.96,74,24,12.73,few clouds
68,East London,ZA,-33.0153,27.9116,55.67,63,5,9.04,clear sky
69,Karratha,AU,-20.7377,116.8463,68.47,75,37,1.36,scattered clouds
70,Asau,RO,46.4333,26.4,63.52,93,100,5.86,overcast clouds
71,Makokou,GA,0.5738,12.8642,70.65,81,93,2.95,overcast clouds
72,Ulladulla,AU,-35.35,150.4667,53.55,76,99,10.31,light rain
73,Olinda,BR,-8.0089,-34.8553,78.53,69,75,12.66,broken clouds
74,Burnie,AU,-41.0667,145.9167,45.95,90,100,12.46,moderate rain
75,Torbay,CA,47.6666,-52.7314,76.75,67,49,15.5,scattered clouds
76,Poso,ID,-1.3959,120.7524,74.91,89,96,4.34,overcast clouds
77,Margate,GB,51.3813,1.3862,69.31,92,96,3.0,overcast clouds
78,Sabang,ID,5.8933,95.3214,82.09,75,100,16.11,light rain
79,Hofn,IS,64.2539,-15.2082,54.37,59,70,4.72,broken clouds
80,Airai,TL,-8.9266,125.4092,56.59,94,49,3.33,scattered clouds
81,Alofi,NU,-19.0595,-169.9187,77.45,79,1,21.56,clear sky
82,Aktash,RU,50.3,87.7333,43.61,75,45,1.9,scattered clouds
83,Atuona,PF,-9.8,-139.0333,76.8,76,9,15.77,clear sky
84,Calatayud,ES,41.3535,-1.6432,78.3,43,8,4.7,clear sky
85,Esperance,AU,-33.8667,121.9,47.21,66,0,13.62,clear sky
86,Thompson,CA,55.7435,-97.8558,68.16,42,75,8.05,broken clouds
87,Inverness,GB,57.4791,-4.224,58.84,73,20,6.91,few clouds
88,Ankpa,NG,7.3706,7.6253,71.44,95,100,8.48,light rain
89,Cabo San Lucas,MX,22.8909,-109.9124,93.61,68,20,9.22,few clouds
90,Albany,US,42.6001,-73.9662,83.03,56,98,2.77,overcast clouds
91,Fortuna,US,40.5982,-124.1573,74.93,73,0,13.8,clear sky
92,Vanimo,PG,-2.6741,141.3028,76.69,90,100,5.68,overcast clouds
93,Bratsk,RU,56.1325,101.6142,63.09,98,49,4.07,scattered clouds
94,Hermanus,ZA,-34.4187,19.2345,49.68,72,4,6.13,clear sky
95,Moose Jaw,CA,50.4001,-105.5344,81.7,41,12,7.76,few clouds
96,Situbondo,ID,-7.7062,114.0098,72.01,78,66,4.41,broken clouds
97,Isangel,VU,-19.55,169.2667,74.64,85,95,14.27,overcast clouds
98,Pangnirtung,CA,66.1451,-65.7125,48.34,80,100,3.78,overcast clouds
99,Sinnamary,GF,5.3833,-52.95,81.1,78,31,7.11,scattered clouds
100,Upernavik,GL,72.7868,-56.1549,51.24,63,94,2.64,overcast clouds
101,Broken Hill,AU,-31.95,141.4333,41.11,80,0,7.78,clear sky
102,Rawson,AR,-43.3002,-65.1023,49.42,59,96,4.83,overcast clouds
103,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,75,11.5,broken clouds
104,Coihaique,CL,-45.5752,-72.0662,42.75,52,0,4.61,clear sky
105,Cidreira,BR,-30.1811,-50.2056,59.49,83,84,10.36,broken clouds
