City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Parainen,FI,2022-07-23 04:54:42,60.3067,22.301,68.45,91,71,8.43
1,Castro,BR,2022-07-23 04:54:42,-24.7911,-50.0119,55.83,68,32,2.39
2,Avarua,CK,2022-07-23 04:54:42,-21.2078,-159.775,75.25,69,20,9.22
3,Rikitea,PF,2022-07-23 04:50:32,-23.1203,-134.9692,72.93,69,10,9.51
4,George,ZA,2022-07-23 04:54:43,-33.963,22.4617,51.35,93,75,11.5
5,Kangaba,ML,2022-07-23 04:54:45,11.9333,-8.4167,71.89,92,97,2.13
6,Kurchum,KZ,2022-07-23 04:54:45,48.5722,83.6542,80.15,27,67,12.21
7,Maraba,BR,2022-07-23 04:51:09,-5.3686,-49.1178,71.78,100,0,0.0
8,Bilma,NE,2022-07-23 04:54:46,18.6853,12.9164,88.05,36,48,5.79
9,Canberra,AU,2022-07-23 04:54:46,-35.2835,149.1281,58.68,64,40,10.36
10,Tasiilaq,GL,2022-07-23 04:54:47,65.6145,-37.6368,34.25,82,61,8.23
11,Khatanga,RU,2022-07-23 04:54:47,71.9667,102.5,43.5,86,100,11.65
12,Serenje,ZM,2022-07-23 04:54:48,-13.2325,30.2352,51.17,86,1,4.72
13,Sisimiut,GL,2022-07-23 04:54:48,66.9395,-53.6735,46.89,84,100,4.54
14,Georgetown,MY,2022-07-23 04:54:48,5.4112,100.3354,85.98,78,40,5.75
15,Hobart,AU,2022-07-23 04:54:49,-42.8794,147.3294,59.25,64,75,8.05
16,Morristown,US,2022-07-23 04:54:49,36.214,-83.2949,77.05,77,75,0.0
17,Monrovia,LR,2022-07-23 04:54:50,6.3005,-10.7969,75.74,79,99,7.76
18,Arraial Do Cabo,BR,2022-07-23 04:54:50,-22.9661,-42.0278,70.3,91,5,19.55
19,Saskylakh,RU,2022-07-23 04:54:50,71.9167,114.0833,58.33,54,99,6.78
20,Andenes,NO,2022-07-23 04:54:51,69.3143,16.1194,50.94,100,75,18.41
21,Bereda,ES,2022-07-23 04:54:51,43.2686,-7.5406,57.15,100,32,4.63
